trait_grp,trait,null,neutral,resource,generative,energetic,embedding,classifiers,matching,expert,scavenging,co-occurance
predicts,structure,1,1,1,1,1,1,,,,,
predicts,interactions,,,,,1,1,1,1,1,1,
predicts,patterns,,,,,,,,,,,1
mechanism,random,1,,1,,,,,,,,
mechanism,mass_effect,,1,,,,,,,,,
mechanism,mechanistic,,,,,,,,1,1,,
mechanism,mathematical,,,,1,1,1,,,,,
mechanism,statistical,,,,,,,1,,,,1
links,resources,1,1,1,1,,,,,,,
links,associations,,,,,,,,,,,1
links,energy,,,,,1,,,,,,
links,feeding,,,,,,1,1,1,1,1,
nodes,agnostic,1,,,1,,,,,,,
nodes,trophic_spp,,,1,,,,,,,,
nodes,specific,,1,,,1,1,1,1,1,1,1
interactions,binary,1,1,1,1,,,1,1,,1,1
interactions,probabalistic,1,,,,,1,,,1,,
interactions,weighted,,,,,1,,,,1,,
constraints,link,1,1,1,1,,,,,,,
constraints,energy,,,,,1,,,,,,
constraints,forbidden_links,,,,,,1,1,1,1,1,
constraints,occurance,,,,,,,,,,,1
data_edge,link,1,1,1,,,,,,,,
data_node,richness,1,1,1,,,,,,,,
data_node,abundance,,1,,,1,,,,,,
data_meta,traits_other,,,,,,,1,1,,,
data_meta,phylogeny,,,,,,1,1,,,,
data_meta,spp_pool,,1,,,1,1,1,1,1,1,1
data_meta,is_producer,,,,,1,,,,,,
data_meta,traits_size,,,,,1,,1,,,,
data_network,network,,,,1,,1,1,,,,
data_network,expert,,,,,,,,1,1,,
data_network,published,,,,,,,,,,1,
scale,conceptual,1,1,1,1,,,,,,,
scale,metaweb,,,,,,1,1,1,1,1,
scale,metacommunity,,,,,,,,,,,1
scale,realised,,,,,1,,,,1,,